Question,GroundTruth
"who is benjamin Franklin?",president
"According to Tougaloo College's assessment, is Sullivan still considered a sundown town in 2024?","yes. As of 2024, Tougaloo College maintains Sullivan's listing as a sundown town. "
What divisions were part of the corps while it was stationed in Bologna?,"The divisions that were part of the corps while it was stationed in Bologna were the 4th, 7th, and 13th division of the Line"
What position did Mr. Biaggi hold in the law firm Wildes and Weinberg PC?,Wildes is the managing partner of the law firm Wildes and Weinberg PC.
What is the critical field in superconducting materials?, the critical field refers to the maximum magnetic field strength below which a material remains superconducting.
What is another name for goat water?,kiddy stew
How did Lieberman publicly challenge President Clinton's judgment?,Liberman voted against removing Clinton from office by impeachment.
When was Riga designated as the European Capital of Culture?,Riga was the European Capital of Culture in 2014.
In which year did Sorokin enter the Imperial Academy of Fine Arts?,In 1841
What are the common symptoms of esophageal spasms?,"The symptoms may include trouble swallowing, regurgitation, chest pain, heartburn, globus pharyngis (which is a feeling that something is stuck in the throat) or a dry cough."
Describe the physical characteristics of the ninespine stickleback.,"The ninespine stickleback is a small fish, reaching a maximum size of around 12.5 cm.[3] It reaches an age of about 3 years.[3] The body of the ninespine stickleback tapers to a very narrow caudal peduncle and the caudal fin is fan-shaped. The body is less deep and more elongated than that of the three-spined stickleback with a thinner and longer caudal peduncle, but the best way of distinguishing these two species is the number of spines in front of the dorsal fin which, for this species, varies from seven to twelve although nine is the commonest number. This species does not have scales but there is a group of small bony plates on the narrowest part of the caudal peduncle at the lateral line. The mouth points upwards in this species. It is generally greyish or olive-brown with silvery flanks irregularly barred or blotched with darker colour.[4] During the breeding season, the males develop a black area around the pelvis and the pelvic spines become white. The eyes are dark with a gold ring around the pupils."
What allegations were made against the Romani Initiative regarding their election result?,that the Romani initiative's result was manipulated in conjunction with the Serb List
What universities did Michael Jay Wildes attend?,"Wildes is a graduate of Queens College of the City University of New York and the Benjamin N. Cardozo School of Law, "
Who announced their candidacy for mayor of Englewood at the urging of Bergen County Democratic Chairman Joe Ferriero?,New Jersey State Senator Byron Baer announced he would run against Michael Jay Wildes  for mayor
